Train id,A,B,C,D
703,X,X,X,X
729,VND,VND,,
731,VND,VND,,
733,VND,VND,,
707,X,X,,
705,X,X,,
701,X,,,
709,,,,
711,,,,
703,,,,
735,VND,VND,x,
713,,,,
737,VND,VND,x,
729,,,,
739,VND,VND,x,
731,,,,
733,,,,
741,VND,VND,x,
715,x,,,
707,,,,
725,VND,VND,x,
743,x,,,
727,VND,VND,x,
705,,,,
745,x,x,x,
701,,,,
717,x,x,x,
709,,,,
711,,,,
719,x,x,x,
703,,,,
735,,x,x,
713,,,,
737,,x,x,
729,,,,
739,,x,x,
731,,,,
733,,x,x,
741,,,,
721,x,x,x,
715,,,,
723,x,x,x,
707,,,,
725,,x,x,
743,,,,
727,,x,x,
705,,,,
745,,x,x,
701,,,,
717,,x,x,
709,,,,
711,,x,x,
719,,,,
703,,x,x,
735,,,,
713,,x,x,
737,,,,
729,,x,x,
739,,,,
731,,x,x,
733,,,,
741,,x,x,
715,,,,
723,, ,,
707,,x,x,
725,,,,
743,,x,x,
727,,,,
705,,,,
745,,x,x,
701,,,,
717,,x,x,
709,,,,
711,,x,x,
719,,,,
703,,x,x,
735,,,,
713,,x,x,
737,,,,
729,,x,x,
739,,,,
731,,x,x,
733,,,,
741,,x,x,
715,,,,
707,,x,x,
743,,,,
705,,x,x,
745,,,,
701,,x,x,
717,,,,
709,,x,x,
711,,,,
719,,x,x,
703,,,,
735,,x,x,
713,,,,
737,,x,x,
729,,,,
739,,x,x,
731,,,,
733,,x,x,
741,,,,
715,,x,x,
707,,,,
743,,x,x,
705,,,,
745,,x,x,
701,,,,
717,,x,x,
709,,,,
711,,x,x,
719,,,,
703,,x,x,
735,,,,
713,,x,x,
737,,,,
729,,x,x,
739,,,,
731,,x,x,
733,,,,
741,,x,x,
715,,,,
707,,x,x,
743,,,,
705,,x,x,
745,,,,
701,,x,x,
717,,,,
709,,x,x,
747,x,,,
711,,x,x,
719,,,,
703,,x,x,
735,,,,
713,,x,x,
737,,,,
729,,x,x,
739,,,,
749,,x,x,
731,,,,
733,,x,x,
741,,,,
715,,x,x,
707,,,,
743,,x,x,
705,,,,
745,,,,
701,,x,x,x
717,,,,
709,,x,x,
711,,,,
719,,x,x,
703,,,,
735,,x,x,x
713,,,,
737,,x,x,x
729,,,,
739,,x,x,x
731,,,,
733,,x,x,x
741,,,,
715,,x,x,
707,,,,
743,,,,
745,,,,
717,,,,
711,,,,
703,,,,
713,,,,
729,,,,
731,,,,
741,,,,
743,,,MVPI,
726,,,,
717,,,,
724,,,,
