train id,A,B,C,D
708,X,X,X,
726,VND,VND,,
728,VND,VND,,
730,VND,VND,,
706,X,,,
710,,,,
702,X,,,
704,X,,,
712,,,,
732,VND,VND,,
714,,,,
734,VND,VND,x,
708,,,,
736,VND,VND,x,
716,,,,
718,,x,x,
726,,,,
720,,x,x,
728,,,,
730,,,,
722,,x,x,
706,,,,
724,,x,x,
710,,,,
702,,x,x,
704,,,,
712,,x,x,
732,,,,
738,VND,VND,x,
714,,,,
734,,,,
740,VND,VND,x,
708,,,,
736,,x,x,
716,,,,
718,,x,x,
726,,,,
720,,x,x,
728,,,,
730,,x,x,
722,,,,
706,,x,x,
724,,,,
710,,x,x,
702,,,,
704,,x,x,
712,,,,
732,,,,
738,,x,x,x
714,,,,
734,,,,
740,,x,x,x
708,,,,
736,,x,x,
716,,,,
718,,x,x,
726,,,,
720,,x,x,
728,,,,
730,,x,x,
722,,,,
706,,x,x,
724,,,,
710,,x,x,
702,,,,
704,,x,x,
712,,,,
732,,x,x,
714,,,,
734,,x,x,
708,,,,
736,,x,x,
716,,,,
718,,x,x,
726,,,,
720,,x,x,
728,,,,
730,,x,x,
722,,,,
706,,x,x,
724,,,,
710,,x,x,
702,,,,
704,,x,x,
712,,,,
732,,x,x,
714,,,,
734,,x,x,
708,,,,
736,,x,x,
716,,,,
718,,x,x,
726,,,,
720,,x,x,
728,,,,
730,,x,x,
722,,,,
706,,x,x,
724,,,,
710,,x,x,
702,,,,
704,,x,x,
712,,,,
732,,x,x,
714,,,,
734,,x,x,
708,,,,
736,,x,x,
716,,,,
718,,x,x,
726,,,,
720,,x,x,
728,,,,
730,,x,x,
722,,,,
746,H/S,x,x,
706,,,,
748,VND,VND,,
724,,x,x,
710,,,,
702,,x,x,
704,,,,
712,,x,x,
732,,,,
714,,x,x,
734,,,,
708,,x,x,
736,,,,
716,,x,x,
718,,,,
726,,x,x,
720,,,,
728,,x,x,
730,,,,
722,,,,
746,,x,x,x
706,,,,
748,,x,x,x
724,,,,
710,,x,x,x
702,,,,
704,,x,x,x
712,,,,
732,,x,x,x
714,,,,
734,,x,x,x
708,,,,
736,,x,x,x
716,,,,
718,,x,x,x
726,,,,
720,,,,
728,,,,
730,,x,x,x
722,,,,
706,,,,
724,,,,
702,,,,
712,,,,
714,,,,
708,,,,
716,,,,
720,,,,NIZM
728,,,,
716,,,,
702,,,,
711,,,,
731,,,,
741,,,,
